rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
1, 0, Pogačar Tadej, UAE-Team Emirates, Slovenia, 3214, 1219, 4988, 1441, 3244, 1007, 310, 3484, 23, 1.76, 66, 9, 30, 3, 5, 5, 9408, 60
2, 0, van Aert Wout, Team Jumbo-Visma, Belgium, 2810, 1003, 4367, 3803, 826, 1516, 1956, 1626, 27, 1.9, 78, 12, 30, 3, 10, 8, 8515, 49
3, 0, Roglič Primož, Team Jumbo-Visma, Slovenia, 2564, 133, 3660, 1507, 5154, 3866, 286, 5302, 32, 1.77, 65, 11, 60, 9, 7, 9, 8529, 52
4, 0, Alaphilippe Julian, Deceuninck - Quick Step, France, 1947, 834, 3080, 5579, 2139, 1237, 1510, 5252, 29, 1.73, 62, 4, 37, 6, 17, 10, 10976, 63
5, 0, Almeida João, Deceuninck - Quick Step, Portugal, 1664, 791, 2161, 346, 1502, 1094, 144, 1500, 23, 1.78, 63, 4, 6, 2, 3, 5, 11281, 70
6, 0, Colbrelli Sonny, Bahrain - Victorious, Italy, 1646, 1334, 2570, 5231, 1162, 142, 4158, 1694, 31, 1.76, 74, 7, 34, 10, 18, 12, 10306, 61
7, 0, Philipsen Jasper, Alpecin-Fenix, Belgium, 1515, 879, 1777, 1588, 228, 94, 2479, 478, 23, 1.76, 69, 9, 14, 4, 4, 5, 10624, 63
8, 0, Bernal Egan, INEOS Grenadiers, Colombia, 1510, 1094, 2336, 877, 3433, 504, 198, 3324, 24, 1.75, 60, 2, 19, 5, 3, 6, 10642, 66
9, 0, van der Poel Mathieu, Alpecin-Fenix, Netherlands, 1446, 312, 2316, 3075, 784, 454, 1958, 1264, 26, 1.84, 75, 8, 35, 1, 8, 8, 6029, 34
10, 0, Yates Adam, INEOS Grenadiers, Great Britain, 1444, 826, 2219, 1662, 3965, 598, 193, 4644, 29, 1.73, 58, 1, 16, 10, 11, 9, 8689, 53
11, 0, Gaudu David, Groupama - FDJ, France, 1346, 833, 1798, 1235, 1553, 31, 208, 2310, 25, 1.73, 53, 3, 7, 5, 7, 6, 11079, 67
12, 0, Valverde Alejandro, Movistar Team, Spain, 1324, 506, 1978, 12579, 13007, 4612, 4326, 17309, 41, 1.77, 61, 3, 130, 30, 33, 23, 11695, 73
13, 0, Mohorič Matej, Bahrain - Victorious, Slovenia, 1322, 1081, 1897, 1488, 1335, 241, 725, 1558, 27, 1.85, 72, 4, 15, 10, 16, 9, 11913, 71
14, 0, Carapaz Richard, INEOS Grenadiers, Ecuador, 1306, 193, 2028, 747, 2546, 331, 156, 3032, 28, 1.7, 62, 2, 12, 8, 2, 9, 9365, 61
15, 0, Vingegaard Jonas, Team Jumbo-Visma, Denmark, 1295, 1171, 1721, 167, 1069, 570, 300, 962, 24, 1.75, 60, 3, 5, 2, 4, 6, 9421, 58
16, 0, Woods Michael, Israel Start-Up Nation, Canada, 1222, 583, 1880, 2340, 1685, 20, 326, 3660, 35, 1.75, 64, 2, 8, 7, 12, 9, 9545, 60
17, 0, Evenepoel Remco, Deceuninck - Quick Step, Belgium, 1200, 302, 1784, 719, 1289, 1129, 96, 672, 21, 1.71, 60, 6, 22, 1, 2, 3, 7127, 46
18, 0, Mollema Bauke, Trek - Segafredo, Netherlands, 1190, 869, 1617, 4548, 5490, 1466, 1032, 7852, 35, 1.83, 64, 3, 17, 19, 22, 16, 13061, 81
19, 0, Asgreen Kasper, Deceuninck - Quick Step, Denmark, 1151, 718, 1553, 1166, 457, 1695, 488, 719, 26, 1.92, 75, 4, 10, 4, 8, 6, 10868, 68
20, 0, Merlier Tim, Alpecin-Fenix, Belgium, 1149, 652, 1695, 1753, 28, 3, 2308, 0, 29, 1.85, 74, 9, 18, 2, 1, 10, 10381, 63
21, 0, Mas Enric, Movistar Team, Spain, 1139, 420, 1528, 228, 2728, 500, 78, 2806, 26, 1.77, 61, 1, 5, 7, 6, 8, 11927, 76
22, 0, Cavendish Mark, Deceuninck - Quick Step, Great Britain, 1127, 1114, 1263, 2752, 1357, 708, 13328, 668, 36, 1.75, 70, 10, 156, 20, 15, 17, 11390, 71
23, 0, Stuyven Jasper, Trek - Segafredo, Belgium, 1088, 485, 1796, 3600, 839, 88, 2985, 1518, 29, 1.86, 78, 1, 9, 8, 20, 11, 10137, 59
24, 0, Küng Stefan, Groupama - FDJ, Switzerland, 1071, 431, 1430, 1187, 1067, 3790, 414, 337, 28, 1.93, 83, 5, 22, 7, 14, 9, 10504, 71
25, 0, Nizzolo Giacomo, Team Qhubeka NextHash, Italy, 1051, 394, 1607, 3843, 532, 234, 6368, 530, 32, 1.84, 72, 3, 28, 11, 12, 12, 11689, 71
26, 0, Hayter Ethan, INEOS Grenadiers, Great Britain, 1037, 792, 1280, 468, 513, 246, 592, 536, 23, 1.78, 69, 9, 10, 0, 2, 5, 7445, 47
27, 0, Laporte Christophe, Cofidis Solutions Crédits, France, 964, 841, 1210, 1669, 580, 741, 2548, 421, 28, 1.89, 76, 4, 21, 7, 18, 9, 11933, 73
28, 0, van Poppel Danny, Intermarché - Wanty - Gobert Matériaux, Netherlands, 942, 671, 1316, 2257, 340, 343, 4390, 290, 28, 1.84, 82, 2, 18, 6, 11, 10, 13592, 84
